X,Y,r,Measurement
-1818,-779,1977.8688,8.02
-2219,-895,2392.6943,9.92
-1686,-903,1912.5912,8.46
-2038,-927,2238.9223,7.66
-1805,-1164,2147.7712,9.49
-1288,-920,1582.8278,8.44
-727,-964,1207.4042,7.86
-196,-1244,1259.3459,8.81
-711,-1464,1627.5187,9.0
-994,-1334,1663.6081,9.35
-745,-1331,1525.315,9.67
-1123,-1495,1869.8005,8.79
-1553,-1467,2136.3282,8.77
-1602,-1079,1931.4878,8.67
-1216,-1103,1641.7262,9.08
-1065,-763,1310.1122,8.66
-690,-1207,1390.3054,7.64
-144,-1093,1102.445,9.86
-350,-729,808.6662,9.36
-354,-1173,1225.253,8.65
-1871,-1036,2138.6765,8.53
-1363,-962,1668.2964,8.97
-966,-1253,1582.1394,9.68
-1302,-1151,1737.8162,8.42
-1005,-1037,1444.0893,8.78
-674,-776,1027.8385,8.18
-235,-780,814.6318,8.97
6,-1049,1049.0172,8.41
-414,-1421,1480.0801,7.51
58,-1340,1341.2546,7.8
-1516,-1220,1945.9332,8.98
-1891,-1403,2354.6316,8.46
-1327,-1370,1907.3094,8.88
-1145,-832,1415.3618,8.61
-733,-778,1068.9121,8.47
-597,-1278,1410.5648,8.71
-388,-743,838.2082,7.93
158,-913,926.5706,8.65
199,-1234,1249.9428,8.35
325,-1517,1551.4232,7.62
-781,-1314,1528.5801,9.41
-969,-788,1248.9616,9.12
-1128,-1086,1565.8161,8.75
-981,-585,1142.1847,9.07
-671,-634,923.1452,8.41
-191,-512,546.4659,8.97
-507,-496,709.2708,9.44
-872,-942,1283.6464,8.94
-1162,-745,1380.3148,8.27
-857,-630,1063.6489,8.04
-1230,-707,1418.7139,8.26
-1160,-1031,1551.9539,8.95
-773,-985,1252.0998,8.0
-434,-1223,1297.723,8.38
-288,-805,854.9673,8.98
-572,-1037,1184.2943,9.04
-964,-1093,1457.3761,8.13
-1062,-1448,1795.7026,8.9
-1247,-1204,1733.3854,7.66
-1230,-1508,1946.0123,8.28
-2780,-1119,2996.7584,7.43
-2256,-1284,2595.8028,8.14
-1736,-1129,2070.83,7.98
-1168,-1054,1573.2578,8.38
-749,-795,1092.2573,8.73
-1235,-849,1498.6747,8.32
-992,-1081,1467.1827,9.58
-1463,-749,1643.5845,8.3
-1914,-932,2128.8542,7.92
-2222,-1150,2501.956,8.17
-162,-1065,1077.2507,10.08
-526,-598,796.417,8.8
-246,-981,1011.3738,8.66
-816,-1138,1400.3214,7.99
-961,-1414,1709.6541,8.07
-976,-1059,1440.1587,8.75
-646,-744,985.3182,8.31
-170,-619,641.9198,8.48
136,-880,890.4471,9.08
146,-1375,1382.7295,9.07
-555,-473,729.2146,9.15
-535,-794,957.4241,8.17
-795,-1023,1295.5902,9.03
-579,-718,922.3692,7.96
-889,-627,1087.8649,8.35
-1119,-1133,1592.4352,8.8
-1187,-793,1427.5216,9.04
-1530,-1135,1905.0262,8.05
-1101,-1300,1703.5847,8.96
-1427,-1445,2030.8506,8.64
-334,-927,985.335,8.08
63,-948,950.091,8.38
-314,-1083,1127.6014,8.34
-820,-1324,1557.3619,9.07
-764,-824,1123.6868,9.06
-673,-1115,1302.3648,8.77
-638,-662,919.3955,9.46
-1045,-864,1355.9207,9.06
-1352,-1149,1774.29,9.2
-1904,-984,2143.2387,8.21
-1939,-991,2177.5679,7.81
-1688,-1401,2193.6602,9.24
-1933,-1132,2240.0699,8.95
-1582,-772,1760.3147,8.46
-1227,-596,1364.0913,9.57
-845,-903,1236.7029,8.41
-806,-498,947.4387,8.97
-769,-841,1139.5797,9.72
-1093,-814,1362.8078,8.69
-943,-1314,1617.3574,7.7
-573,-1262,1385.9917,8.8
-297,-909,956.2897,8.23
-768,-1097,1339.1165,10.02
-1032,-874,1352.3683,8.78
-1172,-464,1260.5078,8.0
-1174,-812,1427.4523,9.09
-759,-877,1159.8319,8.35
-1056,-501,1168.8186,9.31
-1610,-521,1692.2,8.34
-1448,-1071,1801.04,7.78
-1287,-1017,1640.3225,8.73
-1666,-1069,1979.4739,9.33
-1681,-572,1775.6534,8.08
-1895,-982,2134.3264,8.15
-1651,-1280,2089.067,8.17
-2235,-1178,2526.442,8.85
-1833,-1425,2321.748,7.69
-1354,-1227,1827.2507,8.75
