,r,PL,RMS,source_file,PL_RMS_ratio,RMS_PL_ratio,PL_RMS_product,PL_RMS_diff,PL_RMS_abs_diff,PL_squared,RMS_squared,PL_sqrt,RMS_sqrt,PL_log,RMS_log,PL_exp,RMS_exp,PL_group_mean,PL_group_std,PL_normalized,RMS_group_mean,RMS_group_std,RMS_normalized,interaction_H_H,interaction_H_L,interaction_H_M,interaction_H_VH,interaction_L_H,interaction_L_L,interaction_L_M,interaction_L_VL,interaction_M_H,interaction_M_L,interaction_M_M,interaction_M_VH,interaction_M_VL,interaction_VH_H,interaction_VH_M,interaction_VH_VH,interaction_VL_H,interaction_VL_L,interaction_VL_M,interaction_VL_VL
0,1977.87,62.2,8.16,FCPR-D1_CIR.csv,7.622549019514429,0.13118971061072154,507.552,54.040000000000006,54.040000000000006,3868.84,66.5856,7.886697661252142,2.85657137141714,4.146304301152812,2.214846178686039,1.862649618265929,2.261435977986511,63.068999999999996,0.7815324464308061,-1.1119180065491225,8.649650000000001,0.5737318350875825,-0.853447499283196,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1,2392.69,63.8,9.18,FCPR-D1_CIR.csv,6.94989106746242,0.14388714733519767,585.684,54.62,54.62,4070.4399999999996,84.27239999999999,7.987490219086343,3.0298514815086235,4.1713056033582285,2.3204250111223765,1.8926917079807226,2.5042768243931564,63.068999999999996,0.7815324464308061,0.9353418444043927,8.649650000000001,0.5737318350875825,0.9243865643721858,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
2,1912.59,62.3,7.74,FCPR-D1_CIR.csv,8.049095607131148,0.12423756019241695,482.202,54.559999999999995,54.559999999999995,3881.2899999999995,59.9076,7.893034904268446,2.7820855486487113,4.147885329150131,2.167910189667444,1.8645131995195232,2.168422619990648,63.068999999999996,0.7815324464308061,-0.9839642658645347,8.649650000000001,0.5737318350875825,-1.5854968196118826,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
3,2238.92,63.8,9.14,FCPR-D1_CIR.csv,6.98030634565667,0.14326018808754976,583.1320000000001,54.66,54.66,4070.4399999999996,83.53960000000001,7.987490219086343,3.023243291566195,4.1713056033582285,2.316487998163037,1.8926917079807226,2.494279724624584,63.068999999999996,0.7815324464308061,0.9353418444043927,8.649650000000001,0.5737318350875825,0.8546675814837409,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
4,2147.77,63.7,8.61,FCPR-D1_CIR.csv,7.398373983653911,0.13516483516462297,548.457,55.09,55.09,4057.6900000000005,74.1321,7.981227975693966,2.9342801502242417,4.169761201506855,2.262804222982201,1.8907999623032261,2.365525036373806,63.068999999999996,0.7815324464308061,0.8073881037198049,8.649650000000001,0.5737318350875825,-0.0691089417881755,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5,1582.83,63.6,8.73,FCPR-D1_CIR.csv,7.285223367614144,0.1372641509431804,555.2280000000001,54.870000000000005,54.870000000000005,4044.96,76.2129,7.974960814950754,2.9546573405388314,4.168214410788556,2.2752138961979136,1.8889101074258496,2.3940823379328497,63.068999999999996,0.7815324464308061,0.6794343630352079,8.649650000000001,0.5737318350875825,0.14004800687716534,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
6,1207.4,62.6,8.44,FCPR-D1_CIR.csv,7.417061611286528,0.13482428114994435,528.3439999999999,54.160000000000004,54.160000000000004,3918.76,71.2336,7.912016177940993,2.90516780926679,4.152613470346076,2.244955980157409,1.8701151378240854,2.3256510003566726,63.068999999999996,0.7815324464308061,-0.6001030438107438,8.649650000000001,0.5737318350875825,-0.36541461906407247,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
7,1259.35,61.6,7.96,FCPR-D1_CIR.csv,7.738693467239464,0.12922077922056943,490.336,53.64,53.64,3794.5600000000004,63.3616,7.848566748139434,2.821347195933177,4.136765278106052,2.192770226986839,1.8515071812945383,2.2166565453905425,63.068999999999996,0.7815324464308061,-1.8796404506566953,8.649650000000001,0.5737318350875825,-1.2020424137254282,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
8,1627.52,61.9,7.76,FCPR-D1_CIR.csv,7.976804123608546,0.1253634894989897,480.344,54.14,54.14,3831.6099999999997,60.2176,7.867655305108378,2.7856776554368237,4.141546163706395,2.1701959049483,1.8570700429587728,2.1727638049685454,63.068999999999996,0.7815324464308061,-1.4957792286029135,8.649650000000001,0.5737318350875825,-1.5506373281676602,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
9,1663.61,62.8,8.14,FCPR-D1_CIR.csv,7.714987714892936,0.12961783439469807,511.192,54.66,54.66,3943.8399999999997,66.2596,7.92464510246358,2.8530685235374214,4.155753190350744,2.2126603854660587,1.8738591108247435,2.256917625888753,63.068999999999996,0.7815324464308061,-0.34419556244155886,8.649650000000001,0.5737318350875825,-0.8883069907274184,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
