PL,RMS,PL_RMS_ratio,RMS_PL_ratio,PL_RMS_product,PL_squared,RMS_squared,PL_sqrt,RMS_sqrt,PL_log,RMS_log,PL_exp,RMS_exp,radius,angle,manhattan_dist,quadrant,X_Y_product,PL_group_mean,PL_group_std,RMS_group_mean,RMS_group_std,FSPL_2.4GHz,PL_excess,r,source_file
62.2,8.16,7.622549019514429,0.13118971061072154,507.552,3868.84,66.5856,7.886697661252142,2.85657137141714,4.146304301152812,2.214846178686039,1.862649618265929,2.261435977986511,1977.868802524576,-2.7367672551423605,2597,0,1416222,63.068999999999996,0.7815324464308061,8.649650000000001,0.5737318350875825,105.97817443962424,-43.77817443962424,1977.87,engineered
63.8,9.18,6.94989106746242,0.14388714733519767,585.684,4070.4399999999996,84.27239999999999,7.987490219086343,3.0298514815086235,4.1713056033582285,2.3204250111223765,1.8926917079807226,2.5042768243931564,2392.6942972306347,-2.758214728297228,3114,0,1986005,63.068999999999996,0.7815324464308061,8.649650000000001,0.5737318350875825,107.63196912403703,-43.83196912403703,2392.69,engineered
62.3,7.74,8.049095607131148,0.12423756019241695,482.202,3881.2899999999995,59.9076,7.893034904268446,2.7820855486487113,4.147885329150131,2.167910189667444,1.8645131995195232,2.168422619990648,1912.5911742973196,-2.649882238155808,2589,0,1522458,63.068999999999996,0.7815324464308061,8.649650000000001,0.5737318350875825,105.68666778186105,-43.38666778186105,1912.59,engineered
63.8,9.14,6.98030634565667,0.14326018808754976,583.1320000000001,4070.4399999999996,83.53960000000001,7.987490219086343,3.023243291566195,4.1713056033582285,2.316487998163037,1.8926917079807226,2.494279724624584,2238.922285386431,-2.7147064091287296,2965,0,1889226,63.068999999999996,0.7815324464308061,8.649650000000001,0.5737318350875825,107.05500521752737,-43.25500521752737,2238.92,engineered
63.7,8.61,7.398373983653911,0.13516483516462297,548.457,4057.6900000000005,74.1321,7.981227975693966,2.9342801502242417,4.169761201506855,2.262804222982201,1.8907999623032261,2.365525036373806,2147.7711703065575,-2.568828441663194,2969,0,2101020,63.068999999999996,0.7815324464308061,8.649650000000001,0.5737318350875825,106.69398500451234,-42.99398500451234,2147.77,engineered
63.6,8.73,7.285223367614144,0.1372641509431804,555.2280000000001,4044.96,76.2129,7.974960814950754,2.9546573405388314,4.168214410788556,2.2752138961979136,1.8889101074258496,2.3940823379328497,1582.8278491358433,-2.5213431676069717,2208,0,1184960,63.068999999999996,0.7815324464308061,8.649650000000001,0.5737318350875825,104.04289849173315,-40.44289849173315,1582.83,engineered
62.6,8.44,7.417061611286528,0.13482428114994435,528.3439999999999,3918.76,71.2336,7.912016177940993,2.90516780926679,4.152613470346076,2.244955980157409,1.8701151378240854,2.3256510003566726,1207.4042405093664,-2.2169477523908467,1691,0,700828,63.068999999999996,0.7815324464308061,8.649650000000001,0.5737318350875825,101.6912787702401,-39.0912787702401,1207.4,engineered
61.6,7.96,7.738693467239464,0.12922077922056943,490.336,3794.5600000000004,63.3616,7.848566748139434,2.821347195933177,4.136765278106052,2.192770226986839,1.8515071812945383,2.2166565453905425,1259.345861945796,-1.7270679527981654,1440,0,243824,63.068999999999996,0.7815324464308061,8.649650000000001,0.5737318350875825,102.05712522362882,-40.457125223628815,1259.35,engineered
61.9,7.76,7.976804123608546,0.1253634894989897,480.344,3831.6099999999997,60.2176,7.867655305108378,2.7856776554368237,4.141546163706395,2.1701959049483,1.8570700429587728,2.1727638049685454,1627.5186634874576,-2.0229028159223392,2175,0,1040904,63.068999999999996,0.7815324464308061,8.649650000000001,0.5737318350875825,104.2847443846058,-42.3847443846058,1627.52,engineered
62.8,8.14,7.714987714892936,0.12961783439469807,511.192,3943.8399999999997,66.2596,7.92464510246358,2.8530685235374214,4.155753190350744,2.2126603854660587,1.8738591108247435,2.256917625888753,1663.608126933744,-2.211171694385443,2328,0,1325996,63.068999999999996,0.7815324464308061,8.649650000000001,0.5737318350875825,104.4752454998513,-41.6752454998513,1663.61,engineered
62.2,7.9,7.873417721419324,0.1270096463020466,491.38000000000005,3868.84,62.410000000000004,7.886697661252142,2.8106938645110393,4.146304301152812,2.186051276738094,1.862649618265929,2.203396426255937,1525.3150494242166,-2.081078722619171,2076,0,991595,63.068999999999996,0.7815324464308061,8.649650000000001,0.5737318350875825,103.72141593864507,-41.52141593864506,1525.32,engineered
63.5,8.21,7.734470158249275,0.12929133858247358,521.335,4032.25,67.40410000000001,7.968688725254614,2.8653097563788807,4.1666652238017265,2.2202898502672155,1.8870221414587378,2.2727714729983686,1869.8005241201533,-2.215046178629351,2618,0,1678885,63.068999999999996,0.7815324464308061,8.649650000000001,0.5737318350875825,105.49013037785275,-41.99013037785275,1869.8,engineered
62.9,7.98,7.882205513685686,0.12686804451490163,501.942,3956.41,63.680400000000006,7.930952023559341,2.824889378365107,4.157319361383489,2.194999882314108,1.8757339071775117,2.221094294751435,2136.3281583127628,-2.384663617564217,3020,0,2278251,63.068999999999996,0.7815324464308061,8.649650000000001,0.5737318350875825,106.64758413093145,-43.74758413093145,2136.33,engineered
63.9,8.89,7.187851518479326,0.13912363067270875,568.071,4083.21,79.03210000000001,7.993747556684537,2.981610303175115,4.1728476237100445,2.2915241456346207,1.894585346350085,2.4326957387976567,1931.4877685349188,-2.5488514295655076,2681,0,1728558,63.068999999999996,0.7815324464308061,8.649650000000001,0.5737318350875825,105.7720640791938,-41.8720640791938,1931.49,engineered
