X,Y,r,Measurement
-1818,-779,1977.8688,7.36
-2219,-895,2392.6943,8.14
-1686,-903,1912.5912,7.85
-2038,-927,2238.9223,7.74
-1805,-1164,2147.7712,8.91
-1288,-920,1582.8278,8.73
-727,-964,1207.4042,8.84
-196,-1244,1259.3459,8.15
-711,-1464,1627.5187,7.45
-994,-1334,1663.6081,7.34
-745,-1331,1525.315,7.31
-1123,-1495,1869.8005,6.77
-1553,-1467,2136.3282,8.12
-1602,-1079,1931.4878,9.02
-1216,-1103,1641.7262,8.44
-1065,-763,1310.1122,7.21
-690,-1207,1390.3054,9.08
-144,-1093,1102.445,8.04
-350,-729,808.6662,6.82
-354,-1173,1225.253,7.05
-1871,-1036,2138.6765,7.88
-1363,-962,1668.2964,7.13
-966,-1253,1582.1394,7.66
-1302,-1151,1737.8162,9.5
-1005,-1037,1444.0893,7.87
-674,-776,1027.8385,9.71
-235,-780,814.6318,7.14
6,-1049,1049.0172,7.04
-414,-1421,1480.0801,9.04
58,-1340,1341.2546,9.51
-1516,-1220,1945.9332,6.85
-1891,-1403,2354.6316,10.04
-1327,-1370,1907.3094,8.35
-1145,-832,1415.3618,8.37
-733,-778,1068.9121,7.45
-597,-1278,1410.5648,9.51
-388,-743,838.2082,8.54
158,-913,926.5706,7.41
199,-1234,1249.9428,7.2
325,-1517,1551.4232,7.11
-781,-1314,1528.5801,8.69
-969,-788,1248.9616,7.35
-1128,-1086,1565.8161,8.5
-981,-585,1142.1847,9.37
-671,-634,923.1452,8.89
-191,-512,546.4659,7.57
-507,-496,709.2708,7.49
-872,-942,1283.6464,8.95
-1162,-745,1380.3148,8.29
-857,-630,1063.6489,8.79
-1230,-707,1418.7139,7.57
-1160,-1031,1551.9539,9.12
-773,-985,1252.0998,8.95
-434,-1223,1297.723,8.47
-288,-805,854.9673,7.64
-572,-1037,1184.2943,7.62
-964,-1093,1457.3761,6.97
-1062,-1448,1795.7026,9.36
-1247,-1204,1733.3854,7.07
-1230,-1508,1946.0123,6.59
-2780,-1119,2996.7584,7.92
-2256,-1284,2595.8028,8.56
-1736,-1129,2070.83,8.43
-1168,-1054,1573.2578,8.95
-749,-795,1092.2573,7.42
-1235,-849,1498.6747,7.87
-992,-1081,1467.1827,8.41
-1463,-749,1643.5845,7.55
-1914,-932,2128.8542,7.24
-2222,-1150,2501.956,7.17
-162,-1065,1077.2507,8.9
-526,-598,796.417,7.53
-246,-981,1011.3738,7.13
-816,-1138,1400.3214,7.1
-961,-1414,1709.6541,9.17
-976,-1059,1440.1587,8.59
-646,-744,985.3182,9.11
-170,-619,641.9198,8.35
136,-880,890.4471,7.74
146,-1375,1382.7295,6.62
-555,-473,729.2146,7.36
-535,-794,957.4241,7.99
-795,-1023,1295.5902,8.54
-579,-718,922.3692,7.33
-889,-627,1087.8649,7.34
-1119,-1133,1592.4352,8.89
-1187,-793,1427.5216,7.55
-1530,-1135,1905.0262,8.98
-1101,-1300,1703.5847,6.87
-1427,-1445,2030.8506,6.92
-334,-927,985.335,8.99
63,-948,950.091,7.3
-314,-1083,1127.6014,7.31
-820,-1324,1557.3619,8.48
-764,-824,1123.6868,7.58
-673,-1115,1302.3648,8.4
-638,-662,919.3955,7.95
-1045,-864,1355.9207,8.02
-1352,-1149,1774.29,7.12
-1904,-984,2143.2387,7.3
-1939,-991,2177.5679,7.51
-1688,-1401,2193.6602,8.24
-1933,-1132,2240.0699,8.68
-1582,-772,1760.3147,8.01
-1227,-596,1364.0913,8.78
-845,-903,1236.7029,8.85
-806,-498,947.4387,8.09
-769,-841,1139.5797,7.06
-1093,-814,1362.8078,7.85
-943,-1314,1617.3574,7.27
-573,-1262,1385.9917,9.19
-297,-909,956.2897,7.45
-768,-1097,1339.1165,6.87
-1032,-874,1352.3683,7.44
-1172,-464,1260.5078,7.62
-1174,-812,1427.4523,7.53
-759,-877,1159.8319,8.78
-1056,-501,1168.8186,7.83
-1610,-521,1692.2,7.92
-1448,-1071,1801.04,7.1
-1287,-1017,1640.3225,6.56
-1666,-1069,1979.4739,8.2
-1681,-572,1775.6534,7.32
-1895,-982,2134.3264,8.46
-1651,-1280,2089.067,7.32
-2235,-1178,2526.442,8.72
-1833,-1425,2321.748,8.67
-1354,-1227,1827.2507,7.06
-1917,-1183,2252.638,8.0
-1487,-1437,2067.8825,8.69
-1183,-921,1499.2431,8.27
-873,-834,1207.3463,7.69
-1099,-1263,1674.2073,8.63
-863,-1019,1335.3389,7.85
-759,-486,901.2641,7.44
-1080,-985,1461.7199,8.2
-1332,-473,1413.4897,7.43
-1687,-478,1753.4118,7.27
-2250,-602,2329.1423,7.4
-2580,-515,2630.8981,7.32
-799,-1534,1729.6118,8.88
-519,-1282,1383.0709,8.4
-332,-1012,1065.0671,8.35
-667,-831,1065.575,9.72
-322,-732,799.6924,7.45
-743,-673,1002.4859,9.26
-452,-765,888.5544,8.44
-175,-990,1005.3482,8.88
147,-1191,1200.0375,9.07
251,-723,765.33,8.95
-846,-1260,1517.6679,8.37
-668,-866,1093.7001,7.33
-1122,-1056,1540.7855,8.35
-1434,-864,1674.172,7.43
-1359,-1169,1792.6076,9.25
-1038,-1000,1441.3341,8.16
-486,-905,1027.2395,7.76
-304,-1184,1222.4042,8.48
124,-778,787.8198,8.68
527,-902,1044.6688,8.49
-2076,-1409,2508.9952,6.68
-2270,-1136,2538.3845,8.3
-1915,-1338,2336.1226,8.72
-1536,-1468,2124.6929,8.3
-1775,-1049,2061.8016,7.34
-1780,-746,1930.0041,7.17
-2089,-642,2185.4256,7.87
-2118,-1108,2390.3113,8.68
-1634,-770,1806.3377,7.44
-1528,-1289,1999.076,7.58
-121,-1330,1335.4928,7.96
-565,-1450,1556.1893,8.61
-274,-1135,1167.6048,8.99
-809,-944,1243.2285,7.78
-1154,-926,1479.5918,7.37
-1297,-1355,1875.6956,6.71
-1807,-1443,2312.4658,8.02
-1729,-931,1963.7215,6.94
-2265,-851,2419.5921,8.12
-1776,-713,1913.7777,8.69
-1664,-1262,2088.43,8.15
-1322,-1368,1902.3953,7.91
-1199,-1007,1565.7746,7.37
-1019,-1303,1654.1372,7.73
-1133,-943,1474.0889,7.45
-1341,-1204,1802.1923,6.73
-1802,-1148,2136.6113,8.12
-1340,-961,1648.9757,7.64
-1770,-916,1992.9767,6.85
-2059,-1257,2412.3702,7.34
-1494,-1093,1851.1307,8.48
-1138,-1147,1615.7515,7.79
-1071,-855,1370.4255,7.56
-1345,-1324,1887.3264,6.64
-1877,-1116,2183.709,6.66
-2245,-891,2415.348,7.91
-2012,-1228,2357.144,7.52
-2421,-1234,2717.3511,7.77
-2370,-852,2518.4924,7.32
-2500,-1387,2858.9804,6.21
