X,Y,r,Measurement
-1818,-779,1977.8688,62.4
-2219,-895,2392.6943,64.6
-1686,-903,1912.5912,63.3
-2038,-927,2238.9223,62.6
-1805,-1164,2147.7712,64.9
-1288,-920,1582.8278,63.2
-727,-964,1207.4042,62.4
-196,-1244,1259.3459,62.7
-711,-1464,1627.5187,64.3
-994,-1334,1663.6081,64.1
-745,-1331,1525.315,64.5
-1123,-1495,1869.8005,63.6
-1553,-1467,2136.3282,63.1
-1602,-1079,1931.4878,63.8
-1216,-1103,1641.7262,63.3
-1065,-763,1310.1122,64.3
-690,-1207,1390.3054,62.1
-144,-1093,1102.445,64.5
-350,-729,808.6662,64.3
-354,-1173,1225.253,63.3
-1871,-1036,2138.6765,63.5
-1363,-962,1668.2964,64.5
-966,-1253,1582.1394,64.7
-1302,-1151,1737.8162,62.8
-1005,-1037,1444.0893,62.6
-674,-776,1027.8385,62.6
-235,-780,814.6318,64.1
6,-1049,1049.0172,62.9
-414,-1421,1480.0801,62.3
58,-1340,1341.2546,62.7
-1516,-1220,1945.9332,63.6
-1891,-1403,2354.6316,63.7
-1327,-1370,1907.3094,63.0
-1145,-832,1415.3618,63.6
-733,-778,1068.9121,63.4
-597,-1278,1410.5648,62.4
-388,-743,838.2082,62.5
158,-913,926.5706,63.2
199,-1234,1249.9428,62.9
325,-1517,1551.4232,62.0
-781,-1314,1528.5801,63.2
-969,-788,1248.9616,64.3
-1128,-1086,1565.8161,62.9
-981,-585,1142.1847,63.6
-671,-634,923.1452,63.1
-191,-512,546.4659,62.5
-507,-496,709.2708,64.7
-872,-942,1283.6464,62.6
-1162,-745,1380.3148,62.7
-857,-630,1063.6489,62.9
-1230,-707,1418.7139,63.6
-1160,-1031,1551.9539,63.2
-773,-985,1252.0998,62.7
-434,-1223,1297.723,62.7
-288,-805,854.9673,63.8
-572,-1037,1184.2943,62.9
-964,-1093,1457.3761,63.4
-1062,-1448,1795.7026,63.6
-1247,-1204,1733.3854,63.2
-1230,-1508,1946.0123,64.3
-2780,-1119,2996.7584,61.8
-2256,-1284,2595.8028,62.5
-1736,-1129,2070.83,63.0
-1168,-1054,1573.2578,63.1
-749,-795,1092.2573,63.2
-1235,-849,1498.6747,63.9
-992,-1081,1467.1827,64.1
-1463,-749,1643.5845,62.9
-1914,-932,2128.8542,62.5
-2222,-1150,2501.956,62.6
-162,-1065,1077.2507,64.6
-526,-598,796.417,63.7
-246,-981,1011.3738,62.8
-816,-1138,1400.3214,62.9
-961,-1414,1709.6541,62.3
-976,-1059,1440.1587,62.5
-646,-744,985.3182,62.6
-170,-619,641.9198,63.1
136,-880,890.4471,64.1
146,-1375,1382.7295,63.4
-555,-473,729.2146,64.0
-535,-794,957.4241,62.1
-795,-1023,1295.5902,62.7
-579,-718,922.3692,62.1
-889,-627,1087.8649,63.5
-1119,-1133,1592.4352,63.2
-1187,-793,1427.5216,64.4
-1530,-1135,1905.0262,63.0
-1101,-1300,1703.5847,63.6
-1427,-1445,2030.8506,63.2
-334,-927,985.335,62.7
