X,Y,r,Measurement
4034,-981,4151.57,10.57
3944,-1456,4204.17,11.6
3632,-1008,3769.28,10.86
3174,-1057,3345.37,10.14
2837,-1183,3073.77,11.91
3079,-820,3186.32,10.92
2683,-983,2857.41,11.52
2482,-1538,2919.89,13.26
2047,-1321,2436.24,10.87
1491,-1516,2126.34,10.33
1009,-1530,1832.75,11.01
614,-1860,1958.72,10.65
494,-2262,2315.31,12.78
79,-1889,1890.65,10.04
2,-2461,2461.0,10.94
401,-2803,2831.54,12.43
763,-2670,2776.88,14.09
1111,-2259,2517.42,10.64
1334,-2518,2849.54,10.26
-108,-1669,1672.49,11.14
-543,-1819,1898.32,13.06
-623,-1310,1450.6,11.79
-604,-957,1131.66,12.63
-587,-557,809.21,11.92
-385,-263,466.26,11.0
-4,-370,370.02,11.56
383,-536,658.78,11.3
578,-958,1118.86,11.55
535,-1269,1377.17,11.6
1345,10,1345.04,12.44
782,-5,782.02,11.49
824,-495,961.25,10.53
1137,-395,1203.66,11.24
1051,-962,1424.8,10.66
958,-1257,1580.45,11.75
657,-1178,1348.83,11.49
138,-1473,1479.45,12.55
-131,-1044,1052.19,11.26
67,-681,684.29,10.6
2090,-1527,2588.4,10.83
1539,-1408,2085.9,10.39
1341,-1023,1686.66,10.74
980,-1408,1715.48,11.61
1040,-930,1395.17,10.63
571,-1188,1318.1,10.69
304,-1389,1421.88,10.88
-176,-1738,1746.89,11.82
-703,-1562,1712.91,11.52
-395,-1492,1543.4,11.35
3177,-875,3295.29,11.74
2785,-562,2841.14,10.56
3209,-495,3246.95,10.32
2967,-943,3113.25,11.46
3164,-1265,3407.51,11.57
3461,-1319,3703.82,10.28
3892,-1158,4060.62,11.26
3526,-1040,3676.18,11.45
3019,-1329,3298.58,11.17
2797,-1856,3356.78,9.69
4535,-970,4637.58,10.46
3983,-736,4050.43,11.39
4198,-1149,4352.4,11.74
3840,-869,3937.1,10.93
3538,-1130,3714.07,10.42
3717,-1520,4015.78,9.84
4056,-1813,4442.76,11.36
4347,-1948,4763.52,13.12
4553,-1420,4769.3,12.96
4536,-1101,4667.71,11.82
