X,Y,r,Measurement
2754,-1330,3058.34,12.59
2729,-805,2845.25,11.37
2932,-1121,3138.99,12.27
2920,-669,2995.66,10.82
3120,-1138,3321.06,10.23
3143,-571,3194.45,10.05
3674,-824,3765.27,11.28
3402,-448,3431.37,11.33
3514,-126,3516.26,10.62
3512,218,3518.76,10.31
1829,104,1831.95,11.03
2120,29,2120.2,10.66
1675,-278,1697.91,11.94
1837,-697,1964.78,11.37
2295,-742,2411.97,9.98
2719,-1111,2937.22,11.66
2836,-607,2900.23,11.47
3325,-499,3362.24,9.46
2988,-392,3013.6,10.82
3451,-352,3468.91,10.49
4065,-365,4081.35,10.93
4470,-139,4472.16,11.7
4821,-306,4830.7,11.5
4906,-823,4974.55,10.58
4551,-793,4619.57,12.84
4085,-595,4128.1,11.36
3750,-478,3780.34,10.63
3608,-94,3609.22,11.44
3121,-120,3123.31,12.41
2588,-156,2592.7,11.61
2003,-1337,2408.23,10.07
1729,-1480,2275.93,11.2
1943,-1003,2186.61,12.62
1972,-554,2048.34,12.02
2307,-844,2456.54,12.82
2870,-742,2964.37,10.9
2388,-711,2491.6,10.81
2627,-289,2642.85,11.5
3180,-364,3200.76,11.54
3054,-891,3181.32,10.95
1933,-1732,2595.44,10.64
1689,-1986,2607.09,11.28
1580,-1583,2236.58,12.28
1080,-1354,1731.97,12.92
1618,-1301,2076.18,11.71
1935,-1333,2349.71,12.45
2144,-969,2352.81,11.73
2503,-685,2595.04,12.5
2208,-380,2240.46,11.09
2367,91,2368.75,11.19
1250,-1001,1601.41,11.16
1440,-1245,1903.58,9.72
1153,-1614,1983.53,10.47
750,-1218,1430.39,10.74
932,-751,1196.92,10.61
610,-595,852.13,11.05
202,-549,584.98,11.4
520,-248,576.11,11.88
17,-565,565.26,10.29
69,-222,232.48,11.59
-564,-917,1076.56,9.79
-745,-530,914.29,11.56
-1067,-593,1220.71,10.75
-1338,-989,1663.84,11.84
-1707,-748,1863.69,12.13
-1490,-1208,1918.17,11.14
-1591,-1708,2334.21,12.21
-1108,-1804,2117.09,11.46
-1412,-1865,2339.22,13.66
-1558,-1580,2218.96,12.17
417,-910,1000.99,11.42
-53,-758,759.85,8.94
-540,-629,829.0,9.76
-798,-1046,1315.64,11.83
-724,-1626,1779.9,10.57
-937,-1333,1629.37,11.22
-1206,-1770,2141.81,10.28
-1527,-1583,2199.46,11.74
-1344,-1864,2298.01,11.0
-1104,-2282,2535.02,10.86
507,-2159,2217.73,12.9
251,-1846,1862.99,10.34
221,-2190,2201.12,12.02
-154,-1898,1904.24,11.49
-308,-2243,2264.05,10.6
-397,-2543,2573.8,10.47
-890,-2356,2518.5,11.91
-519,-2311,2368.56,11.5
-730,-1932,2065.31,12.84
-1181,-1700,2069.97,12.78
1435,-2369,2769.73,13.05
1672,-1849,2492.87,11.75
2098,-1567,2618.61,10.34
1696,-1474,2247.02,13.49
2216,-1443,2644.41,11.63
2721,-1742,3230.85,9.89
2432,-2104,3215.81,12.19
2894,-2099,3575.06,11.51
3280,-2025,3854.74,10.3
3363,-1715,3775.05,11.68
2338,-1398,2724.09,10.12
2615,-1195,2875.11,11.45
2147,-1218,2468.43,11.02
1889,-1372,2334.67,10.51
1931,-1901,2709.72,12.99
2413,-1624,2908.6,10.93
2110,-2113,2986.11,10.8
1516,-2176,2652.02,11.58
1731,-1779,2482.18,10.94
2084,-1922,2834.99,11.52
1610,-1977,2549.63,12.49
1592,-1434,2142.62,11.15
2112,-1367,2515.8,11.59
2410,-1522,2850.37,10.34
2150,-1898,2867.91,11.1
2513,-2062,3250.69,12.59
2753,-1665,3217.33,12.98
3122,-1865,3636.63,9.97
3239,-2272,3956.4,10.74
2927,-2437,3808.71,10.97
2491,-1160,2747.85,11.33
2217,-915,2398.4,11.25
1930,-1211,2278.47,11.54
2253,-1167,2537.3,10.86
2670,-1429,3028.36,9.97
2780,-1765,3292.97,10.1
2772,-2078,3464.4,11.26
2972,-2555,3919.29,13.4
2672,-2285,3515.79,11.0
2303,-2619,3487.54,10.74
4186,-556,4222.76,10.81
