X,Y,r,Measurement
-1818,-779,1977.8688,8.16
-2219,-895,2392.6943,9.18
-1686,-903,1912.5912,7.74
-2038,-927,2238.9223,9.14
-1805,-1164,2147.7712,8.61
-1288,-920,1582.8278,8.73
-727,-964,1207.4042,8.44
-196,-1244,1259.3459,7.96
-711,-1464,1627.5187,7.76
-994,-1334,1663.6081,8.14
-745,-1331,1525.315,7.9
-1123,-1495,1869.8005,8.21
-1553,-1467,2136.3282,7.98
-1602,-1079,1931.4878,8.89
-1216,-1103,1641.7262,8.68
-1065,-763,1310.1122,9.25
-690,-1207,1390.3054,8.79
-144,-1093,1102.445,8.17
-350,-729,808.6662,7.89
-354,-1173,1225.253,8.07
-1871,-1036,2138.6765,9.16
-1363,-962,1668.2964,8.49
-966,-1253,1582.1394,8.51
-1302,-1151,1737.8162,9.39
-1005,-1037,1444.0893,9.3
-674,-776,1027.8385,8.72
-235,-780,814.6318,8.35
6,-1049,1049.0172,8.23
-414,-1421,1480.0801,8.43
58,-1340,1341.2546,10.15
-1516,-1220,1945.9332,9.72
-1891,-1403,2354.6316,8.5
-1327,-1370,1907.3094,8.68
-1145,-832,1415.3618,8.74
-733,-778,1068.9121,9.22
-597,-1278,1410.5648,8.54
-388,-743,838.2082,9.03
158,-913,926.5706,7.68
199,-1234,1249.9428,7.96
325,-1517,1551.4232,6.96
-781,-1314,1528.5801,8.88
-969,-788,1248.9616,9.13
-1128,-1086,1565.8161,8.42
-981,-585,1142.1847,9.3
-671,-634,923.1452,8.81
-191,-512,546.4659,10.02
-507,-496,709.2708,8.85
-872,-942,1283.6464,8.55
-1162,-745,1380.3148,9.89
-857,-630,1063.6489,9.64
-1230,-707,1418.7139,9.45
-1160,-1031,1551.9539,9.4
-773,-985,1252.0998,8.3
-434,-1223,1297.723,8.37
-288,-805,854.9673,7.94
-572,-1037,1184.2943,8.05
-964,-1093,1457.3761,9.35
-1062,-1448,1795.7026,8.18
-1247,-1204,1733.3854,9.14
-1230,-1508,1946.0123,8.39
-2780,-1119,2996.7584,9.1
-2256,-1284,2595.8028,8.55
-1736,-1129,2070.83,9.05
-1168,-1054,1573.2578,8.68
-749,-795,1092.2573,8.57
-1235,-849,1498.6747,9.02
-992,-1081,1467.1827,8.14
-1463,-749,1643.5845,8.86
-1914,-932,2128.8542,9.05
-2222,-1150,2501.956,8.25
-162,-1065,1077.2507,8.63
-526,-598,796.417,8.37
-246,-981,1011.3738,8.8
-816,-1138,1400.3214,8.22
-961,-1414,1709.6541,7.96
-976,-1059,1440.1587,8.75
-646,-744,985.3182,8.81
-170,-619,641.9198,8.99
136,-880,890.4471,8.44
146,-1375,1382.7295,8.0
-555,-473,729.2146,7.97
-535,-794,957.4241,8.57
-795,-1023,1295.5902,8.32
-579,-718,922.3692,8.32
-889,-627,1087.8649,8.57
-1119,-1133,1592.4352,8.45
-1187,-793,1427.5216,10.22
-1530,-1135,1905.0262,8.8
-1101,-1300,1703.5847,8.28
-1427,-1445,2030.8506,8.38
-334,-927,985.335,10.18
63,-948,950.091,8.66
-314,-1083,1127.6014,8.76
-820,-1324,1557.3619,8.25
-764,-824,1123.6868,8.23
-673,-1115,1302.3648,8.6
-638,-662,919.3955,7.97
-1045,-864,1355.9207,8.2
-1352,-1149,1774.29,8.39
-1904,-984,2143.2387,8.13
-1939,-991,2177.5679,9.35
-1688,-1401,2193.6602,7.92
-1933,-1132,2240.0699,8.64
-1582,-772,1760.3147,7.85
-1227,-596,1364.0913,8.81
-845,-903,1236.7029,8.69
-806,-498,947.4387,9.1
-769,-841,1139.5797,8.85
-1093,-814,1362.8078,8.81
-943,-1314,1617.3574,8.88
-573,-1262,1385.9917,8.62
-297,-909,956.2897,9.36
-768,-1097,1339.1165,8.2
-1032,-874,1352.3683,8.84
-1172,-464,1260.5078,9.06
-1174,-812,1427.4523,9.3
-759,-877,1159.8319,8.45
-1056,-501,1168.8186,8.18
-1610,-521,1692.2,8.9
-1448,-1071,1801.04,9.0
-1287,-1017,1640.3225,8.61
-1666,-1069,1979.4739,9.12
-1681,-572,1775.6534,8.86
-1895,-982,2134.3264,8.94
-1651,-1280,2089.067,8.97
-2235,-1178,2526.442,8.24
-1833,-1425,2321.748,8.96
-1354,-1227,1827.2507,8.03
-1917,-1183,2252.638,9.29
-1487,-1437,2067.8825,9.22
-1183,-921,1499.2431,9.85
-873,-834,1207.3463,8.32
-1099,-1263,1674.2073,8.39
-863,-1019,1335.3389,9.02
-759,-486,901.2641,8.77
-1080,-985,1461.7199,8.73
-1332,-473,1413.4897,8.93
-1687,-478,1753.4118,9.02
-2250,-602,2329.1423,8.01
-2580,-515,2630.8981,9.31
-799,-1534,1729.6118,7.7
-519,-1282,1383.0709,8.44
-332,-1012,1065.0671,8.14
-667,-831,1065.575,8.79
-322,-732,799.6924,9.44
-743,-673,1002.4859,9.05
-452,-765,888.5544,9.41
-175,-990,1005.3482,8.92
147,-1191,1200.0375,8.22
251,-723,765.33,8.59
-846,-1260,1517.6679,9.03
-668,-866,1093.7001,8.16
-1122,-1056,1540.7855,8.68
-1434,-864,1674.172,8.38
-1359,-1169,1792.6076,9.04
-1038,-1000,1441.3341,9.11
-486,-905,1027.2395,8.3
-304,-1184,1222.4042,8.77
124,-778,787.8198,9.4
527,-902,1044.6688,9.65
-2076,-1409,2508.9952,7.82
-2270,-1136,2538.3845,9.0
-1915,-1338,2336.1226,8.38
-1536,-1468,2124.6929,9.15
-1775,-1049,2061.8016,8.36
-1780,-746,1930.0041,7.7
-2089,-642,2185.4256,9.18
-2118,-1108,2390.3113,8.34
-1634,-770,1806.3377,9.68
-1528,-1289,1999.076,10.61
-121,-1330,1335.4928,7.54
-565,-1450,1556.1893,8.41
-274,-1135,1167.6048,8.61
-809,-944,1243.2285,8.83
-1154,-926,1479.5918,8.79
-1297,-1355,1875.6956,8.32
-1807,-1443,2312.4658,7.63
-1729,-931,1963.7215,8.4
-2265,-851,2419.5921,8.84
-1776,-713,1913.7777,8.22
-1664,-1262,2088.43,9.52
-1322,-1368,1902.3953,8.13
-1199,-1007,1565.7746,8.69
-1019,-1303,1654.1372,8.46
-1133,-943,1474.0889,8.47
-1341,-1204,1802.1923,8.17
-1802,-1148,2136.6113,8.76
-1340,-961,1648.9757,8.03
-1770,-916,1992.9767,8.29
-2059,-1257,2412.3702,7.82
-1494,-1093,1851.1307,9.86
-1138,-1147,1615.7515,8.0
-1071,-855,1370.4255,8.69
-1345,-1324,1887.3264,8.44
-1877,-1116,2183.709,8.67
-2245,-891,2415.348,8.96
-2012,-1228,2357.144,8.33
-2421,-1234,2717.3511,7.29
-2370,-852,2518.4924,8.21
-2500,-1387,2858.9804,7.71
