X,Y,r,Measurement
-1494,-1093,1851.1307,65.9
-1138,-1147,1615.7515,67.1
-1071,-855,1370.4255,67.6
-1345,-1324,1887.3264,68.0
-1877,-1116,2183.709,66.1
-2245,-891,2415.348,69.5
-2012,-1228,2357.144,68.5
-2421,-1234,2717.3511,67.3
-2370,-852,2518.4924,67.3
-2500,-1387,2858.9804,68.1
