X,Y,r,Measurement
2754,-1330,3058.3355,64.9
2729,-805,2845.2532,67.6
2932,-1121,3138.9911,66.5
2920,-669,2995.657,67.2
3120,-1138,3321.0607,66.2
3143,-571,3194.4467,68.0
3674,-824,3765.2692,68.0
3402,-448,3431.3712,65.9
3514,-126,3516.2582,66.1
3512,218,3518.7594,66.6
1829,104,1831.9544,65.3
2120,29,2120.1983,68.0
1675,-278,1697.9131,66.1
1837,-697,1964.7845,66.6
2295,-742,2411.9679,69.7
2719,-1111,2937.2235,67.2
2836,-607,2900.2319,68.2
3325,-499,3362.2353,65.3
2988,-392,3013.6038,67.6
3451,-352,3468.9054,66.6
4065,-365,4081.3539,67.1
4470,-139,4472.1607,66.5
4821,-306,4830.7015,68.7
4906,-823,4974.5517,65.5
4551,-793,4619.5725,68.4
4085,-595,4128.1049,66.5
3750,-478,3780.3418,66.8
3608,-94,3609.2243,65.6
3121,-120,3123.3061,66.1
2588,-156,2592.6974,64.6
2003,-1337,2408.2313,66.8
1729,-1480,2275.9264,67.8
1943,-1003,2186.6088,66.4
1972,-554,2048.3408,64.8
2307,-844,2456.5392,66.0
2870,-742,2964.3657,66.9
2388,-711,2491.5989,66.8
2627,-289,2642.8488,70.0
3180,-364,3200.7649,67.1
3054,-891,3181.32,65.8
1933,-1732,2595.4408,66.3
1689,-1986,2607.0898,66.2
1580,-1583,2236.5798,67.3
1080,-1354,1731.9688,65.7
1618,-1301,2076.1804,66.1
1935,-1333,2349.7051,67.2
2144,-969,2352.8062,66.4
2503,-685,2595.0403,65.9
2208,-380,2240.4607,66.1
2367,91,2368.7486,65.2
1250,-1001,1601.4059,67.2
1440,-1245,1903.5821,67.8
1153,-1614,1983.5335,66.6
750,-1218,1430.393,67.6
932,-751,1196.9231,66.9
610,-595,852.1297,66.3
202,-549,584.9829,64.4
520,-248,576.1111,64.6
17,-565,565.2557,65.5
69,-222,232.4758,65.6
-564,-917,1076.5617,66.8
-745,-530,914.2893,66.5
-1067,-593,1220.7121,66.2
-1338,-989,1663.8404,65.0
-1707,-748,1863.6934,68.8
-1490,-1208,1918.1668,66.6
-1591,-1708,2334.2119,66.8
-1108,-1804,2117.0923,67.8
-1412,-1865,2339.224,68.8
-1558,-1580,2218.9556,67.2
417,-910,1000.994,65.8
-53,-758,759.8506,66.4
-540,-629,829.0,66.8
-798,-1046,1315.6443,66.9
-724,-1626,1779.9022,68.8
-937,-1333,1629.3735,69.0
-1206,-1770,2141.8067,67.5
-1527,-1583,2199.4586,66.9
-1344,-1864,2298.0061,68.9
-1104,-2282,2535.0227,67.1
507,-2159,2217.7308,65.7
251,-1846,1862.986,65.5
221,-2190,2201.1227,68.1
-154,-1898,1904.2374,66.3
-308,-2243,2264.0479,65.5
-397,-2543,2573.8022,65.2
-890,-2356,2518.4988,65.6
-519,-2311,2368.5612,67.6
-730,-1932,2065.3145,68.7
-1181,-1700,2069.9664,66.9
1435,-2369,2769.7267,65.9
1672,-1849,2492.8668,67.6
2098,-1567,2618.6052,67.7
1696,-1474,2247.0185,66.0
2216,-1443,2644.4101,67.4
2721,-1742,3230.8521,64.2
2432,-2104,3215.8109,65.3
2894,-2099,3575.0576,64.9
3280,-2025,3854.7406,68.6
3363,-1715,3775.0489,68.9
2338,-1398,2724.0866,67.3
2615,-1195,2875.1087,65.0
2147,-1218,2468.4272,67.8
1889,-1372,2334.6745,68.5
1931,-1901,2709.7162,66.7
