-1818,-779,1977.87,8.02
-2219,-895,2392.69,9.92
-1686,-903,1912.59,8.46
-2038,-927,2238.92,7.66
-1805,-1164,2147.77,9.49
-1288,-920,1582.83,8.44
-727,-964,1207.4,7.86
-196,-1244,1259.35,8.81
-711,-1464,1627.52,9.0
-994,-1334,1663.61,9.35
-745,-1331,1525.32,9.67
-1123,-1495,1869.8,8.79
-1553,-1467,2136.33,8.77
-1602,-1079,1931.49,8.67
-1216,-1103,1641.73,9.08
-1065,-763,1310.11,8.66
-690,-1207,1390.31,7.64
-144,-1093,1102.45,9.86
-350,-729,808.67,9.36
-354,-1173,1225.25,8.65
-1871,-1036,2138.68,8.53
-1363,-962,1668.3,8.97
-966,-1253,1582.14,9.68
-1302,-1151,1737.82,8.42
-1005,-1037,1444.09,8.78
-674,-776,1027.84,8.18
-235,-780,814.63,8.97
6,-1049,1049.02,8.41
-414,-1421,1480.08,7.51
58,-1340,1341.25,7.8
-1516,-1220,1945.93,8.98
-1891,-1403,2354.63,8.46
-1327,-1370,1907.31,8.88
-1145,-832,1415.36,8.61
-733,-778,1068.91,8.47
-597,-1278,1410.56,8.71
-388,-743,838.21,7.93
158,-913,926.57,8.65
199,-1234,1249.94,8.35
325,-1517,1551.42,7.62
-781,-1314,1528.58,9.41
-969,-788,1248.96,9.12
-1128,-1086,1565.82,8.75
-981,-585,1142.18,9.07
-671,-634,923.15,8.41
-191,-512,546.47,8.97
-507,-496,709.27,9.44
-872,-942,1283.65,8.94
-1162,-745,1380.31,8.27
-857,-630,1063.65,8.04
-1230,-707,1418.71,8.26
-1160,-1031,1551.95,8.95
-773,-985,1252.1,8.0
-434,-1223,1297.72,8.38
-288,-805,854.97,8.98
-572,-1037,1184.29,9.04
-964,-1093,1457.38,8.13
-1062,-1448,1795.7,8.9
-1247,-1204,1733.39,7.66
-1230,-1508,1946.01,8.28
-2780,-1119,2996.76,7.43
-2256,-1284,2595.8,8.14
-1736,-1129,2070.83,7.98
-1168,-1054,1573.26,8.38
-749,-795,1092.26,8.73
-1235,-849,1498.67,8.32
-992,-1081,1467.18,9.58
-1463,-749,1643.58,8.3
-1914,-932,2128.85,7.92
-2222,-1150,2501.96,8.17
-162,-1065,1077.25,10.08
-526,-598,796.42,8.8
-246,-981,1011.37,8.66
-816,-1138,1400.32,7.99
-961,-1414,1709.65,8.07
-976,-1059,1440.16,8.75
-646,-744,985.32,8.31
-170,-619,641.92,8.48
136,-880,890.45,9.08
146,-1375,1382.73,9.07
-555,-473,729.21,9.15
-535,-794,957.42,8.17
-795,-1023,1295.59,9.03
-579,-718,922.37,7.96
-889,-627,1087.86,8.35
-1119,-1133,1592.44,8.8
-1187,-793,1427.52,9.04
-1530,-1135,1905.03,8.05
-1101,-1300,1703.58,8.96
-1427,-1445,2030.85,8.64
-334,-927,985.33,8.08
63,-948,950.09,8.38
-314,-1083,1127.6,8.34
-820,-1324,1557.36,9.07
-764,-824,1123.69,9.06
-673,-1115,1302.36,8.77
-638,-662,919.4,9.46
-1045,-864,1355.92,9.06
-1352,-1149,1774.29,9.2
-1904,-984,2143.24,8.21
-1939,-991,2177.57,7.81
-1688,-1401,2193.66,9.24
-1933,-1132,2240.07,8.95
-1582,-772,1760.31,8.46
-1227,-596,1364.09,9.57
-845,-903,1236.7,8.41
-806,-498,947.44,8.97
-769,-841,1139.58,9.72
-1093,-814,1362.81,8.69
-943,-1314,1617.36,7.7
-573,-1262,1385.99,8.8
-297,-909,956.29,8.23
-768,-1097,1339.12,10.02
-1032,-874,1352.37,8.78
-1172,-464,1260.51,8.0
-1174,-812,1427.45,9.09
-759,-877,1159.83,8.35
-1056,-501,1168.82,9.31
-1610,-521,1692.2,8.34
-1448,-1071,1801.04,7.78
-1287,-1017,1640.32,8.73
-1666,-1069,1979.47,9.33
-1681,-572,1775.65,8.08
-1895,-982,2134.33,8.15
-1651,-1280,2089.07,8.17
-2235,-1178,2526.44,8.85
-1833,-1425,2321.75,7.69
-1354,-1227,1827.25,8.75
-1917,-1183,2252.64,8.79
-1487,-1437,2067.88,8.55
-1183,-921,1499.24,7.88
-873,-834,1207.35,8.4
-1099,-1263,1674.21,7.84
-863,-1019,1335.34,8.71
-759,-486,901.26,8.62
-1080,-985,1461.72,9.33
-1332,-473,1413.49,9.85
-1687,-478,1753.41,8.75
-2250,-602,2329.14,8.37
-2580,-515,2630.9,8.03
-799,-1534,1729.61,7.99
-519,-1282,1383.07,7.53
-332,-1012,1065.07,9.44
-667,-831,1065.57,7.84
-322,-732,799.69,8.93
-743,-673,1002.49,7.61
-452,-765,888.55,8.28
-175,-990,1005.35,7.5
147,-1191,1200.04,8.49
251,-723,765.33,9.59
-846,-1260,1517.67,8.57
-668,-866,1093.7,9.55
-1122,-1056,1540.79,8.3
-1434,-864,1674.17,8.25
-1359,-1169,1792.61,8.53
-1038,-1000,1441.33,9.34
-486,-905,1027.24,7.98
-304,-1184,1222.4,10.12
124,-778,787.82,7.91
527,-902,1044.67,7.04
-2076,-1409,2509.0,8.03
-2270,-1136,2538.38,9.55
-1915,-1338,2336.12,8.61
-1536,-1468,2124.69,9.24
-1775,-1049,2061.8,8.96
-1780,-746,1930.0,8.1
-2089,-642,2185.43,7.78
-2118,-1108,2390.31,9.72
-1634,-770,1806.34,7.79
-1528,-1289,1999.08,8.5
-121,-1330,1335.49,7.96
-565,-1450,1556.19,7.25
-274,-1135,1167.6,10.17
-809,-944,1243.23,9.08
-1154,-926,1479.59,8.2
-1297,-1355,1875.7,9.44
-1807,-1443,2312.47,8.49
-1729,-931,1963.72,8.03
-2265,-851,2419.59,8.3
-1776,-713,1913.78,8.84
-1664,-1262,2088.43,8.8
-1322,-1368,1902.4,9.04
-1199,-1007,1565.77,8.01
-1019,-1303,1654.14,8.86
-1133,-943,1474.09,8.39
-1341,-1204,1802.19,9.07
-1802,-1148,2136.61,8.25
-1340,-961,1648.98,8.98
-1770,-916,1992.98,7.41
-2059,-1257,2412.37,7.64
-1494,-1093,1851.13,8.48
-1138,-1147,1615.75,8.62
-1071,-855,1370.43,8.69
-1345,-1324,1887.33,8.1
-1877,-1116,2183.71,8.25
-2245,-891,2415.35,7.03
-2012,-1228,2357.14,8.15
-2421,-1234,2717.35,9.46
