2785,-562,2841.14,11.79
3209,-495,3246.95,10.2
2967,-943,3113.25,12.0
3164,-1265,3407.51,11.11
3461,-1319,3703.82,11.5
3892,-1158,4060.62,11.62
3526,-1040,3676.18,11.44
3019,-1329,3298.58,10.77
2797,-1856,3356.78,10.95
4535,-970,4637.58,11.97
3983,-736,4050.43,11.43
4198,-1149,4352.4,13.21
3840,-869,3937.1,13.4
3538,-1130,3714.07,12.03
3717,-1520,4015.78,12.21
4056,-1813,4442.76,10.21
4347,-1948,4763.52,11.11
4553,-1420,4769.3,12.73
4536,-1101,4667.71,12.96
