model_name,rmse,mae,r2,explained_variance,mape,median_abs_error,p90_error,p95_error,max_error,mean_relative_error,residual_std,residual_normality_p,train_time,cv_rmse,cv_std
linear,414.56737020884,316.9659743569641,0.30593709791853285,0.31087929960637195,22.092930046379593,280.79759611689565,540.712856490559,846.0719927689878,1316.8236218649345,22.09293004637764,413.0887319307571,0.0016817035800095687,0.0010182857513427734,430.0760111902207,171.68992190268398
svr,425.316776454177,308.2598081224398,0.26947745100248155,0.27520498577434305,21.7275263679241,206.90747199912357,612.108978769172,915.5635398618399,1326.190883112636,21.727526367922064,423.64618447127344,0.030664762393189184,0.004999876022338867,445.94922008436555,184.82253599400303
svr_poly,452.66350920410446,321.4625679630176,0.1725160662370231,0.17839732125557406,23.26137217906876,198.77782557358125,670.3235674652428,981.8893688879067,1412.009751115221,23.261372179066512,451.0520115720152,0.020906242220251402,0.007498741149902344,469.1156090987984,199.48102491046745
random_forest,485.783898797273,341.0244512738095,0.046995764547321794,0.052970448505640144,24.154844868334983,217.34975000000043,909.8827800000015,1130.9575350000018,1304.2265000000007,24.154844868332805,484.25873841584877,0.046999250097954,0.12848329544067383,479.2528631433559,219.63293319845167
random_forest,487.27919309776655,337.821177053571,0.04111983910317918,0.04652187276354014,23.93340648466867,221.7538500000017,917.8242200000018,1166.6849649999965,1329.9885500000007,23.933406484666502,485.90466446567086,0.031391542852119585,0.20259904861450195,476.7602526127332,211.43278756152236
gradient_boosting,473.8370571135235,319.37103566465225,0.09329367925719645,0.09330775236399935,22.546544851205567,182.60765843077434,813.1531389151806,1151.1619522519834,1300.2182940505807,22.546544851203567,473.83337985594034,0.0031284537485530583,0.05000638961791992,491.37565832614223,224.56673569694604
random_forest,481.1426747029844,334.04182528333274,0.0651189540907241,0.06995234276663354,23.687044969993867,201.54328500000702,910.2194740000016,1139.5058849999887,1333.434560000007,23.687044969991728,479.8972953217973,0.02509426797618332,0.4379281997680664,476.7818805362824,212.81183859740432
gradient_boosting,497.5883249579697,345.82135279751964,0.00011751187224939841,0.0013697089501898407,23.900450916372638,215.3901726826412,875.9252846316871,1170.644805423023,1364.89570325496,23.900450916370588,497.2766514096194,0.007460090613562445,0.08355116844177246,522.7524051202555,240.94140615800356
voting,426.6565832494366,297.5151702756916,0.2648677071932577,0.2655883214154985,21.246887074374293,196.7326114601127,713.3133823820992,847.6068633016984,1280.7883067392172,21.246887074372307,426.4474166901736,0.009102310819990583,0.13552427291870117,444.9798951776867,157.09529843786493
bagging,479.2683664748868,338.52445188095237,0.07238849114327617,0.07750124062312513,23.798037244189917,201.12480000000005,922.5853000000003,1002.9977499999992,1334.8290000000002,23.798037244187814,477.94574118093664,0.0510290457383634,0.05004692077636719,480.3098763782769,211.38245457247066
xgboost,613.3907009166263,416.05688400268554,-0.5194379665950597,-0.5093292522785182,29.86809845958158,237.93015136718742,1105.5659179687505,1407.943214721679,1797.837568359375,29.868098459578956,611.3468732083815,0.006751668199845344,1.3390488624572754,542.0137464240339,204.75597878664465
lightgbm,474.5389134150834,348.3054108163571,0.09060562925151949,0.09372837154351576,25.612635167522342,211.67712287070447,891.5815671451795,1019.9116069495492,1454.2112088641688,25.612635167519883,473.7234602399884,0.05074259604225587,0.03400373458862305,473.41846234445177,145.2287187417
